Layer,Checkpoint,Task,Linear BA,Small MLP BA,Large MLP BA,Linear SA,Small MLP SA,Large MLP SA
1,1,0,0.179,0.099,0.2,0.603,0.605,0.667
2,1,0,0.179,0.158,0.19,0.606,0.64,0.637
3,1,0,0.189,0.2,0.215,0.587,0.661,0.697
1,2,0,0.201,0.201,0.201,0.652,0.67,0.67
2,2,0,0.255,0.278,0.308,0.748,0.776,0.796
3,2,0,0.211,0.234,0.281,0.75,0.772,0.792
1,3,0,0.198,0.198,0.198,0.656,0.669,0.668
2,3,0,0.198,0.352,0.604,0.741,0.815,0.875
3,3,0,0.447,0.552,0.642,0.824,0.855,0.879
1,4,0,0.202,0.202,0.202,0.642,0.668,0.67
2,4,0,0.235,0.592,0.646,0.768,0.877,0.9
3,4,0,0.487,0.589,0.673,0.833,0.871,0.901
1,1,1,0.146,0.102,0.204,0.571,0.6,0.663
2,1,1,0.146,0.114,0.181,0.57,0.561,0.674
3,1,1,0.173,0.183,0.221,0.569,0.649,0.698
1,2,1,0.198,0.177,0.198,0.605,0.623,0.631
2,2,1,0.198,0.199,0.199,0.734,0.764,0.776
3,2,1,0.2,0.199,0.224,0.745,0.769,0.779
1,3,1,0.185,0.197,0.197,0.611,0.632,0.667
2,3,1,0.172,0.203,0.214,0.692,0.749,0.797
3,3,1,0.211,0.207,0.236,0.734,0.755,0.778
1,4,1,0.198,0.167,0.198,0.602,0.62,0.665
2,4,1,0.213,0.217,0.239,0.729,0.783,0.796
3,4,1,0.202,0.206,0.262,0.732,0.778,0.798
1,1,2,0.163,0.144,0.163,0.67,0.673,0.76
2,1,2,0.171,0.151,0.186,0.676,0.676,0.764
3,1,2,0.182,0.223,0.269,0.66,0.79,0.829
1,2,2,0.231,0.238,0.237,0.773,0.797,0.797
2,2,2,0.662,0.887,0.926,0.948,0.977,0.989
3,2,2,0.732,0.891,0.935,0.948,0.979,0.991
1,3,2,0.246,0.231,0.239,0.743,0.74,0.795
2,3,2,0.526,0.835,0.858,0.908,0.959,0.969
3,3,2,0.698,0.845,0.865,0.932,0.96,0.97
1,4,2,0.234,0.222,0.214,0.774,0.788,0.788
2,4,2,0.751,0.796,0.887,0.936,0.953,0.977
3,4,2,0.772,0.871,0.92,0.943,0.973,0.988
1,1,3,0.912,0.917,0.912,0.912,0.917,0.912
2,1,3,0.912,0.913,0.922,0.912,0.913,0.922
3,1,3,0.9,0.923,0.924,0.9,0.923,0.924
1,2,3,0.921,0.921,0.921,0.921,0.921,0.921
2,2,3,0.921,0.921,0.922,0.921,0.921,0.922
3,2,3,0.92,0.921,0.922,0.92,0.921,0.922
1,3,3,0.925,0.925,0.925,0.925,0.925,0.925
2,3,3,0.924,0.986,0.986,0.924,0.986,0.986
3,3,3,0.954,0.987,0.988,0.954,0.987,0.988
1,4,3,0.924,0.925,0.922,0.924,0.925,0.922
2,4,3,0.919,0.986,0.987,0.919,0.986,0.987
3,4,3,0.954,0.986,0.988,0.954,0.986,0.988
